NUMERO;TERMINOS
1;exposición
2;coste
3;aprecia
4;afecta
5;crónico
6;podría
7;incluso
8;constante
9;debido
10;ya
11;medidas
12;ocurriendo
13;grados
14;alimentos
15;seguridad
16;será
17;desarrollo
18;ocurrir
19;junto
20;lugar
21;comida
22;no
23;causa
24;próximo
25;transformación
26;cifra
27;puede
28;línea
29;indican
30;medioambiental
31;señaló
32;mejor
33;tierra
34;riesgo
35;productividad
36;humana
37;enfermedades
38;generar
39;cambios
40;meta
41;marco
42;espera
43;ejemplos
44;urbanización
45;puntos
46;sostenible
47;usar
48;necesario
49;competencia
50;negocio
51;sociedad
52;invernadero
53;avanzando
54;explica
55;proyecciones
56;trabajadores
57;minería
58;descenso
59;perdido
60;profundo
61;eficiencia
62;niños
63;mundial
64;baja
65;nacional
66;proteger
67;salud
68;condiciones
69;millones
70;primera
71;calentamiento
72;captación
73;ahora
74;mesa
75;conocimiento
76;creciente
77;superará
78;salvaje
79;controlar
80;señala
81;sigue
82;mundo
83;países
84;seguido
85;sean
86;dejen
87;salir
88;vida
89;tierras
90;menor
91;usos
92;afectando
93;poblaciones
94;rápidamente
95;llega
96;cambio
97;producido
98;detener
99;naturales
100;muertes
101;hombre
102;utiliza
103;destructivo
104;peligro
105;bosques
106;incapacidad
107;constancia
108;adoptar
109;efecto
110;considera
111;marina
112;tiene
113;potable
114;terrestre
115;manera
116;factores
117;dulce
118;puesto
119;oportunidades
120;genética
121;profundidad
122;años
123;cantidad
124;ser
125;actual
126;menos
127;aumento
128;química
129;exceso
130;utilizar
131;problema
132;producción
133;parte
134;ilegal
135;principal
136;lucha
137;desertificación
138;general
139;extensión
140;actualidad
141;puerta
142;presentado
143;va
144;señalan
145;páginas
146;aire
147;extenso
148;disponible
149;acceso
150;escala
151;situación
152;climático
153;llevado
154;aumenta
155;tiempo
156;economía
157;agentes
158;estudios
159;primero
160;enfrentan
161;directamente
162;prepararse
163;modelos
164;considerable
165;pobreza
166;industria
167;inglés
168;escenario
169;superiores
170;análisis
171;data
172;llegar
173;estado
174;futuro
175;eliminación
176;suelo
177;mantener
178;aguas
179;desaparecido
180;económicos
181;estudio
182;agua
183;soluciones
184;presenta
185;promedio
186;siendo
187;superficie
188;clave
189;australiana
190;alcanzar
191;objetivo
192;negociar
193;año
194;hace
195;semejante
196;extracción
197;tanto
198;calor
199;peligrosas
200;isla
201;han
202;teniendo
203;obtención
204;problemas
205;dirección
206;último
207;carbono
208;avance
209;materia
210;calidad
211;prestar
212;importante
213;negativo
214;más
215;mar
216;caminando
217;mundiales
218;reducir
219;forma
220;vez
221;modelo
222;peores
223;unida
224;mitad
225;humano
226;hay
227;aumentado
228;mejora
229;científicos
230;servicios
231;producir
232;valor
233;dólares
234;regiones
235;carga
236;cumplir
237;aún
238;población
239;almacenar
240;medio
241;transporte
242;ganadería
243;mucho
244;incumplir
245;factor
246;siglo
247;rentable
248;responsables
249;protección
250;preocupante
251;acuerdos
252;acaban
253;retos
254;especies
255;concreto
256;senda
257;niveles
258;tan
259;amplio
260;abundancia
261;internacional
262;encima
263;son
264;asistencia
265;explotación
266;humanidad
267;enfrenta
268;amenaza
269;recurso
270;conclusiones
271;pueda
272;mujeres
273;científico
274;ejemplo
275;diferentes
276;informe
277;realiza
278;altera
279;uso
280;experimentado
281;pérdida
282;global
283;evitar
284;demasiado
285;grave
286;altura
287;registrado
288;deben
289;modifique
290;probable
291;mejorar
292;forzado
293;está
294;es
295;culpa
296;pueden
297;control
298;anuales
299;tomar
300;representaban
301;aumentando
302;llegan
303;comercio
304;acuerdo
305;reducción
306;agricultura
307;están
308;área
309;publicó
310;gran
311;pone
