ORDEN;PALABRA
1;de
2;la
3;que
4;el
5;en
6;y
7;a
8;los
9;se
10;del
11;las
12;un
13;por
14;con
15;no
16;una
17;su
18;para
19;es
20;al
21;lo
22;como
23;más
24;o
25;pero
26;sus
27;le
28;ha
29;me
30;si
31;sin
32;sobre
33;este
34;ya
35;entre
36;cuando
37;todo
38;esta
39;ser
40;son
41;dos
42;también
43;fue
44;había
45;era
46;muy
47;años
48;hasta
49;desde
50;está
51;mi
52;porque
53;qué
54;sólo
55;han
56;yo
57;hay
58;vez
59;puede
60;todos
61;así
62;nos
63;ni
64;parte
65;tiene
66;él
67;uno
68;donde
69;bien
70;tiempo
71;mismo
72;ese
73;ahora
74;cada
75;e
76;vida
77;otro
78;después
79;te
80;otros
81;aunque
82;esa
83;eso
84;hace
85;otra
86;gobierno
87;tan
88;durante
89;siempre
90;día
91;tanto
92;ella
93;tres
94;sí
95;dijo
96;sido
97;gran
98;país
99;según
100;menos
101;mundo
102;año
103;antes
104;estado
105;contra
106;sino
107;forma
108;caso
109;nada
110;hacer
111;general
112;estaba
113;poco
114;estos
115;presidente
116;mayor
117;ante
118;unos
119;les
120;algo
121;hacia
122;casa
123;ellos
124;ayer
125;hecho
126;primera
127;mucho
128;mientras
129;además
130;quien
131;momento
132;millones
133;esto
134;españa
135;hombre
136;están
137;pues
138;hoy
139;lugar
140;madrid
141;nacional
142;trabajo
143;otras
144;mejor
145;nuevo
146;decir
147;algunos
148;entonces
149;todas
150;días
151;debe
152;política
153;cómo
154;casi
155;toda
156;tal
157;luego
158;pasado
159;primer
160;medio
161;va
162;estas
163;sea
164;tenía
165;nunca
166;poder
167;aquí
168;ver
169;veces
170;embargo
171;partido
172;personas
173;grupo
174;cuenta
175;pueden
176;tienen
177;misma
178;nueva
179;cual
180;fueron
181;mujer
182;frente
183;josé
184;tras
185;cosas
186;fin
187;ciudad
188;he
189;social
190;manera
191;tener
192;sistema
193;será
194;historia
195;muchos
196;juan
197;tipo
198;cuatro
199;dentro
200;nuestro
201;punto
202;dice
203;ello
204;cualquier
205;noche
206;aún
207;agua
208;parece
209;haber
210;situación
211;fuera
212;bajo
213;grandes
214;nuestra
215;ejemplo
216;acuerdo
217;habían
218;usted
219;estados
220;hizo
221;nadie
222;países
223;horas
224;posible
225;tarde
226;ley
227;importante
228;guerra
229;desarrollo
230;proceso
231;realidad
232;sentido
233;lado
234;mí
235;tu
236;cambio
237;allí
238;mano
239;eran
240;estar
241;san
242;número
243;sociedad
244;unas
245;centro
246;padre
247;gente
248;final
249;relación
250;cuerpo
251;obra
252;incluso
253;través
254;último
255;madre
256;mis
257;modo
258;problemas
259;cinco
260;carlos
261;hombres
262;información
263;ojos
264;muerte
265;nombre
266;algunas
267;público
268;mujeres
269;siglo
270;todavía
271;meses
272;mañana
273;esos
274;nosotros
275;hora
276;muchas
277;pueblo
278;alguna
279;dar
280;problema
281;don
282;da
283;tú
284;derecho
285;verdad
286;maría
287;unidos
288;podría
289;sería
290;junto
291;cabeza
292;aquel
293;luis
294;cuanto
295;tierra
296;equipo
297;segundo
298;director
299;dicho
300;cierto
301;casos
302;manos
303;nivel
304;podía
305;familia
306;largo
307;partir
308;falta
309;llegar
310;propio
311;ministro
312;cosa
313;primero
314;seguridad
315;hemos
316;mal
317;trata
318;algún
319;tuvo
320;respecto
321;semana
322;varios
323;real
324;sé
325;voz
326;paso
327;señor
328;mil
329;quienes
330;proyecto
331;mercado
332;mayoría
333;luz
334;claro
335;iba
336;éste
337;pesetas
338;orden
339;español
340;buena
341;quiere
342;aquella
343;programa
344;palabras
345;internacional
346;van
347;esas
348;segunda
349;empresa
350;puesto
351;ahí
352;propia
353;m
354;libro
355;igual
356;político
357;persona
358;últimos
359;ellas
360;total
361;creo
362;tengo
363;dios
364;c
365;española
366;condiciones
367;méxico
368;fuerza
369;solo
370;único
371;acción
372;amor
373;policía
374;puerta
375;pesar
376;zona
377;sabe
378;calle
379;interior
380;tampoco
381;música
382;ningún
383;vista
384;campo
385;buen
386;hubiera
387;saber
388;obras
389;razón
390;ex
391;niños
392;presencia
393;tema
394;dinero
395;comisión
396;antonio
397;servicio
398;hijo
399;última
400;ciento
401;estoy
402;hablar
403;dio
404;minutos
405;producción
406;camino
407;seis
408;quién
409;fondo
410;dirección
411;papel
412;demás
413;barcelona
414;idea
415;especial
416;diferentes
417;dado
418;base
419;capital
420;ambos
421;europa
422;libertad
423;relaciones
424;espacio
425;medios
426;ir
427;actual
428;población
429;empresas
430;estudio
431;salud
432;servicios
433;haya
434;principio
435;siendo
436;cultura
437;anterior
438;alto
439;media
440;mediante
441;primeros
442;arte
443;paz
444;sector
445;imagen
446;medida
447;deben
448;datos
449;consejo
450;personal
451;interés
452;julio
453;grupos
454;miembros
455;ninguna
456;existe
457;cara
458;edad
459;etc
460;movimiento
461;visto
462;llegó
463;puntos
464;actividad
465;bueno
466;uso
467;niño
468;difícil
469;joven
470;futuro
471;aquellos
472;mes
473;pronto
474;soy
475;hacía
476;nuevos
477;nuestros
478;estaban
479;posibilidad
480;sigue
481;cerca
482;resultados
483;educación
484;atención
485;gonzález
486;capacidad
487;efecto
488;necesario
489;valor
490;aire
491;investigación
492;siguiente
493;figura
494;central
495;comunidad
496;necesidad
497;serie
498;organización
499;nuevas
500;calidad
501;economía
502;carácter
503;jefe
504;estamos
