PALABRA;OFFSET3.1;OFFSET3.0;IDPICTO
centro;02997001-n;spa-30-02993546-n;29889
centro;08541617-n;spa-30-08524130-n;15748
cepillar;01246373-v;spa-30-01243809-v;5425
cepillar;01246546-v;spa-30-01243982-v;5425
cepillo;02911542-n;spa-30-02908217-n;5953
cepo;04481701-n;spa-30-04474466-n;25373
cercar;01591055-v;spa-30-01588134-v;9041
cerdito;02398346-n;spa-30-02395694-n;5954
cerdo;02398058-n;spa-30-02395406-n;2327
cerdo;07684447-n;spa-30-07668702-n;25622
cerebro;05488747-n;spa-30-05481095-n;2696
cereza;07773108-n;spa-30-07757132-n;8303
cerezo;12662174-n;spa-30-12641413-n;3184
cerezo;12662692-n;spa-30-12641931-n;3184
cerilla;03733928-n;spa-30-03728437-n;8342
cero;13764498-n;spa-30-13742358-n;2626
cerrado;01657224-a;spa-30-01652782-a;4596
cerradura;03687813-n;spa-30-03682487-n;3261
cerrar;01347791-v;spa-30-01345109-v;10146
cerrar;01349660-v;spa-30-01346978-v;7056
certificación;06483016-n;spa-30-06471345-n;27677
certificado;06483016-n;spa-30-06471345-n;27677
cerveza;07902824-n;spa-30-07886849-n;2330
cesta;02805104-n;spa-30-02801938-n;3012
chaleco;04539168-n;spa-30-04531873-n;2698
chalet;03006420-n;spa-30-03002816-n;5957
chalet;03185531-n;spa-30-03180865-n;5957
champán;07909617-n;spa-30-07893642-n;3009
champú;04190559-n;spa-30-04183516-n;2699
chancla;03368854-n;spa-30-03364008-n;8343
chancleta;03368854-n;spa-30-03364008-n;8343
chapa;02958374-n;spa-30-02954938-n;16601
chaqueta;03594978-n;spa-30-03589791-n;8536
charco;09420482-n;spa-30-09397607-n;25936
charcutero;10474538-n;spa-30-10454972-n;3013
charcutería;03011781-n;spa-30-03008177-n;2700
charla;07255209-n;spa-30-07240549-n;27465
charlar;01040538-v;spa-30-01038666-v;3345
charlar;00965602-v;spa-30-00963570-v;3345
chasquear;01244772-v;spa-30-01242208-v;11216
chatear;01040538-v;spa-30-01038666-v;8537
chef;09983053-n;spa-30-09963574-n;10348
chelo;02995666-n;spa-30-02992211-n;4771
cheque;13402907-n;spa-30-13381734-n;16605
chica;10104064-n;spa-30-10084295-n;2484
chichón;14313006-n;spa-30-14289504-n;5427
chicle;07615569-n;spa-30-07599998-n;8724
chico;10305010-n;spa-30-10285313-n;2485
chillar;00915018-v;spa-30-00913065-v;7120
chimenea;03351301-n;spa-30-03346455-n;8072
chimenea;03021082-n;spa-30-03017428-n;2333
chimpancé;02484454-n;spa-30-02481823-n;8073
china;08740839-n;spa-30-08723006-n;8074
chincheta;04438879-n;spa-30-04431745-n;3234
chino;09717504-n;spa-30-09698108-n;5959
chirimoya;07776835-n;spa-30-07760859-n;8540
chiste;06790941-n;spa-30-06778102-n;21537
chistera;03242119-n;spa-30-03237416-n;8541
chocar;01564990-v;spa-30-01562209-v;4551
chocolate;07617570-n;spa-30-07601999-n;25940
chocolate;07939004-n;spa-30-07922764-n;6448
chopo;12752161-n;spa-30-12731401-n;3185
chopo;12753251-n;spa-30-12732491-n;3185
choque;07316568-n;spa-30-07301950-n;4551
chorizo;07692265-n;spa-30-07676520-n;2335
choza;03552234-n;spa-30-03547054-n;8075
chupa-chups;07623214-n;spa-30-07607605-n;2701
chupar;01171984-v;spa-30-01169704-v;29608
chupete;03079772-n;spa-30-03075768-n;4599
chutar;01407698-v;spa-30-01405044-v;5961
chófer;10054631-n;spa-30-10034906-n;6459
chófer;09928311-n;spa-30-09908853-n;28435
cicatriz;14386888-n;spa-30-14363483-n;5428
ciclismo;00452356-n;spa-30-00451370-n;9698
ciclista;10005719-n;spa-30-09986189-n;3078
ciclo;07357095-n;spa-30-07342495-n;24984
ciego;02166241-a;spa-30-02158826-a;10198
cielo;09459612-n;spa-30-09436708-n;6978
cielo;08538450-n;spa-30-08521267-n;6978
cielo;05635568-n;spa-30-05627785-n;25948
ciempiés;01787316-n;spa-30-01784675-n;24986
cien;13772555-n;spa-30-13750415-n;29256
científica;10580065-n;spa-30-10560637-n;11217
científico;10580065-n;spa-30-10560637-n;8076
cierto;02469730-a;spa-30-02460502-a;8715
ciervo;02432691-n;spa-30-02430045-n;3263
ciervo;02433768-n;spa-30-02431122-n;3263
cigarra;02259308-n;spa-30-02256656-n;16613
cigarrillo;03034648-n;spa-30-03030663-n;4601
cigarro;03034648-n;spa-30-03030663-n;4601
cigüeña;02004729-n;spa-30-02002075-n;3015
cilindro;13887919-n;spa-30-13865298-n;9111
cima;08635538-n;spa-30-08617963-n;20391
cinco;13766661-n;spa-30-13744521-n;4893
cincuenta;13771784-n;spa-30-13749644-n;29342
cine;03036237-n;spa-30-03032252-n;4602
cinturón;02830790-n;spa-30-02827606-n;2336
ciprés;11650940-n;spa-30-11630489-n;3079
circo;00520795-n;spa-30-00519739-n;6450
circo;08206141-n;spa-30-08189211-n;6450
circuito;03037347-n;spa-30-03033362-n;25954
circuito;00311492-n;spa-30-00310666-n;23925
circular;02046082-v;spa-30-02042237-v;23929
circular;02046294-v;spa-30-02042404-v;23929
circunferencia;05108937-n;spa-30-05101675-n;20099
ciruela;07767427-n;spa-30-07751451-n;8305
ciruelo;12658979-n;spa-30-12638218-n;3186
cirujana;10698621-n;spa-30-10679174-n;11220
cirujano;10698621-n;spa-30-10679174-n;3187
cisne;01861082-n;spa-30-01858441-n;2337
cita;08401740-n;spa-30-08385009-n;16165
citar;00792796-v;spa-30-00791134-v;16167
ciudad;08542298-n;spa-30-08524735-n;2704
ciudad;08683242-n;spa-30-08665504-n;2704
cizalla;04193891-n;spa-30-04186848-n;9118
claqueta;03041389-n;spa-30-03037404-n;8542
clara;07857013-n;spa-30-07841037-n;6980
clarinete;03041694-n;spa-30-03037709-n;5964
claro;00409737-a;spa-30-00408660-a;25958
claro;00270855-a;spa-30-00269989-a;26753
claro;00433163-a;spa-30-00431447-a;26753
clase;00886144-n;spa-30-00884466-n;32705
clase;03042670-n;spa-30-03038685-n;5913
clase;00891150-n;spa-30-00889472-n;10259
clasificar;00656296-v;spa-30-00654625-v;8077
clavar;01360534-v;spa-30-01357831-v;2705
clave;06365341-n;spa-30-06353934-n;27691
clavel;11828937-n;spa-30-11808468-n;3080
clavo;03810284-n;spa-30-03804744-n;8306
clic;00113648-n;spa-30-00112828-n;9872
clima;11545095-n;spa-30-11524662-n;32600
clip;03047943-n;spa-30-03043958-n;10309
clip;03892459-n;spa-30-03886762-n;10309
clínica;08071169-n;spa-30-08054417-n;6523
clínica;03545775-n;spa-30-03540595-n;6523
clínica;08070828-n;spa-30-08054076-n;6523
clínica;03047259-n;spa-30-03043274-n;6523
clítoris;05531071-n;spa-30-05523420-n;14976
cobrar;02325354-v;spa-30-02320374-v;15986
cobrar;02113108-v;spa-30-02108654-v;15986
cobre;14659900-n;spa-30-14635722-n;10287
coca-cola;07944936-n;spa-30-07928696-n;2338
cocear;01940092-v;spa-30-01936233-v;16617
coche;02961779-n;spa-30-02958343-n;2340
coche;02971932-n;spa-30-02968473-n;25419
cochino;02398058-n;spa-30-02395406-n;2327
cocido;00618376-a;spa-30-00615757-a;15359
cocina;00244785-n;spa-30-00243918-n;8200
cocina;03625099-n;spa-30-03619890-n;5965
cocina;04337478-n;spa-30-04330340-n;2341
cocinar;01668067-v;spa-30-01664172-v;2342
cocinar;01669533-v;spa-30-01665638-v;2342
cocinera;09982799-n;spa-30-09963320-n;3235
cocinero;09983053-n;spa-30-09963574-n;6985
cocktail;07927917-n;spa-30-07911677-n;23941
coco;07788911-n;spa-30-07772935-n;10224
coco;07789214-n;spa-30-07773238-n;10224
cocodrilo;01699819-n;spa-30-01697178-n;2343
cocotero;12608564-n;spa-30-12587803-n;3188
coctelera;03066248-n;spa-30-03062245-n;23945
codera;03273556-n;spa-30-03268645-n;30682
codo;05587575-n;spa-30-05579944-n;2707
codorniz;01809208-n;spa-30-01806567-n;25970
cofre;03018359-n;spa-30-03014705-n;5966
cofre;03068353-n;spa-30-03064350-n;5966
coger;01216829-v;spa-30-01214265-v;10147
coger;01846632-v;spa-30-01842690-v;28171
cohete;04106523-n;spa-30-04099429-n;2344
cohete;04240011-n;spa-30-04232902-n;11221
coito;00847184-n;spa-30-00845523-n;14991
coja;09998419-n;spa-30-09978889-n;26953
cojo;09998419-n;spa-30-09978889-n;26952
cojín;03156166-n;spa-30-03151500-n;3264
col;07729640-n;spa-30-07713895-n;2708
cola;02160209-n;spa-30-02157557-n;5967
cola;14727036-n;spa-30-14702875-n;2709
cola;07944171-n;spa-30-07927931-n;2338
colaboración;01205394-n;spa-30-01202904-n;19522
colaboración;01207646-n;spa-30-01205156-n;19522
colador;04223701-n;spa-30-04216634-n;2345
colchón;03736655-n;spa-30-03731164-n;8078
colegio;08293641-n;spa-30-08276720-n;3082
colegio;04153115-n;spa-30-04146050-n;3082
coleta;05267863-n;spa-30-05260380-n;5429
colgante;03914950-n;spa-30-03908831-n;28525
colgar;01483990-v;spa-30-01481360-v;6986
colibrí;01836446-n;spa-30-01833805-n;9062
coliflor;07730848-n;spa-30-07715103-n;23953
colirio;03314159-n;spa-30-03309214-n;26757
collar;03072490-n;spa-30-03068486-n;6987
collar;03820446-n;spa-30-03814906-n;2347
colmena;02826007-n;spa-30-02822865-n;26761
colmillo;01468234-n;spa-30-01465593-n;29784
colocar;01496967-v;spa-30-01494310-v;6989
colocar;01496398-v;spa-30-01493741-v;6989
colonia;03075025-n;spa-30-03071021-n;2710
color;04963771-n;spa-30-04956594-n;7075
colorear;00284671-v;spa-30-00283911-v;2348
colorear;01700543-v;spa-30-01696648-v;2348
colorete;04119846-n;spa-30-04112752-n;3017
columpio;04378861-n;spa-30-04371774-n;25000
coma;06855902-n;spa-30-06842852-n;3189
comadreja;02444573-n;spa-30-02441942-n;5969
comba;03610446-n;spa-30-03605233-n;3265
combatir;01092746-v;spa-30-01090335-v;9007
comedor;03205385-n;spa-30-03200701-n;5970
comedor;02955921-n;spa-30-02952485-n;16149
comentarista;10389227-n;spa-30-10369528-n;28237
comenzar;00346415-v;spa-30-00345761-v;5431
comenzar;02614382-v;spa-30-02608347-v;5431
comer;01159300-v;spa-30-01156834-v;2349
comer;01170802-v;spa-30-01168468-v;2349
comer;01168667-v;spa-30-01166351-v;4609
comercio;04209460-n;spa-30-04202417-n;9116
comercio;01092370-n;spa-30-01090446-n;6652
cometa;09274313-n;spa-30-09251407-n;2711
cometa;03626682-n;spa-30-03621473-n;2350
comida;07589261-n;spa-30-07573696-n;4611
comida;07816067-n;spa-30-07800091-n;7060
comida;07571428-n;spa-30-07555863-n;4610
comida;00021445-n;spa-30-00021265-n;4610
comida;07590641-n;spa-30-07575076-n;4611
comienzo;07339790-n;spa-30-07325190-n;5431
comillas;06857249-n;spa-30-06844199-n;3190
comisaría;03984036-n;spa-30-03977678-n;3083
comité;08341444-n;spa-30-08324514-n;19539
compartir;02300169-v;spa-30-02295208-v;15361
compartir;01065952-v;spa-30-01063930-v;32862
completar;00485097-v;spa-30-00484166-v;15816
completar;00456705-v;spa-30-00455750-v;15816
completar;01022740-v;spa-30-01020731-v;13078
composición;00941268-n;spa-30-00939452-n;24791
compost;14842271-n;spa-30-14818101-n;25004
compra;00079838-n;spa-30-00079018-n;16017
comprar;02211988-v;spa-30-02207206-v;6457
comprender;00595247-v;spa-30-00593852-v;11697
comprensión;05813910-n;spa-30-05805902-n;15331
compresa;04142398-n;spa-30-04135315-n;3018
computador;03086983-n;spa-30-03082979-n;2487
computadora;03086983-n;spa-30-03082979-n;2487
compás;03084637-n;spa-30-03080633-n;9146
comulgar;00762447-v;spa-30-00760402-v;3084
comunicación;00033319-n;spa-30-00033020-n;6991
comunicación;06262268-n;spa-30-06252138-n;6222
comunicar;00742582-v;spa-30-00740577-v;27685
comunicar;01072124-v;spa-30-01070102-v;27685
comunión;01038365-n;spa-30-01036333-n;3084
concejal;09964242-n;spa-30-09944763-n;22753
concejalía;00592226-n;spa-30-00591111-n;22753
concesionario;09971196-n;spa-30-09951717-n;4883
conciencia;05683749-n;spa-30-05675905-n;12319
conciencia;04855723-n;spa-30-04848492-n;12319
concierto;06905814-n;spa-30-06892775-n;11584
conducir;01934845-v;spa-30-01930874-v;2712
conductor;10054631-n;spa-30-10034906-n;3019
conductor;09928311-n;spa-30-09908853-n;28435
conductora;10054631-n;spa-30-10034906-n;11223
conectar;02628315-v;spa-30-02622234-v;23967
conectar;01357376-v;spa-30-01354673-v;31356
conectar;01423776-v;spa-30-01421122-v;27515
conejo;02326697-n;spa-30-02324045-n;2351
conejo;07682266-n;spa-30-07666521-n;25624
conferencia;07255209-n;spa-30-07240549-n;27465
conferenciante;10272244-n;spa-30-10252547-n;9868
confesión;01041339-n;spa-30-01039307-n;23969
confeti;03094734-n;spa-30-03090278-n;24990
confundido;00437207-a;spa-30-00435492-a;2352
confuso;00437207-a;spa-30-00435492-a;2352
congresista;09975260-n;spa-30-09955781-n;9859
conjuntivitis;14364837-n;spa-30-14341432-n;25010
conjunto;02118964-a;spa-30-02111684-a;5367
cono;13895231-n;spa-30-13872592-n;9112
cono;03093804-n;spa-30-03089348-n;4928
conocer;00595732-v;spa-30-00594337-v;6993
conseguir;02531751-v;spa-30-02526085-v;24208
conseguir;02242867-v;spa-30-02238085-v;24208
consentimiento;06702412-n;spa-30-06689667-n;25696
conserje;10046278-n;spa-30-10026553-n;2353
conserje;09971432-n;spa-30-09951953-n;2353
conservatorio;03096770-n;spa-30-03092314-n;29907
considerar;00814706-v;spa-30-00813044-v;12349
considerar;02170904-v;spa-30-02166460-v;12349
consolar;01818782-v;spa-30-01814815-v;25986
constelación;09275876-n;spa-30-09252970-n;24994
construcción;00912746-n;spa-30-00911048-n;2713
construcción;01106542-n;spa-30-01104637-n;2713
construir;01658171-v;spa-30-01654628-v;2713
contaminación;14540345-n;spa-30-14516743-n;7065
contaminación;00277831-n;spa-30-00276987-n;7065
contaminar;00493642-v;spa-30-00492706-v;7065
contar;00955248-v;spa-30-00953216-v;5973
contar;00950103-v;spa-30-00948071-v;2714
contar;00949889-v;spa-30-00947857-v;2714
contenedor;03099154-n;spa-30-03094503-n;5575
contento;01151786-a;spa-30-01148283-a;3250
contento;00591490-a;spa-30-00588797-a;3250
contestar;00817348-v;spa-30-00815686-v;9030
contestar;00637941-v;spa-30-00636279-v;9030
continuar;02753584-v;spa-30-02747709-v;24998
contrabajo;02807100-n;spa-30-02803934-n;17214
contraseña;06686933-n;spa-30-06674188-n;27691
contratar;02414542-v;spa-30-02409412-v;21557
convención;01234384-n;spa-30-01231819-n;11689
convención;06787117-n;spa-30-06774316-n;11689
conversación;07148409-n;spa-30-07133701-n;23402
conversar;00965602-v;spa-30-00963570-v;3345
conversar;00966726-v;spa-30-00964694-v;3345
convicta;09982445-n;spa-30-09962966-n;11349
convicto;09982445-n;spa-30-09962966-n;4725
cooperación;01205394-n;spa-30-01202904-n;19522
cooperación;01207646-n;spa-30-01205156-n;19522
cooperación;00412397-n;spa-30-00411384-n;19522
cooperar;02421408-v;spa-30-02416278-v;4570
copa;03443167-n;spa-30-03438257-n;2356
copa;13927671-n;spa-30-13904665-n;31696
copiar;01697776-v;spa-30-01693881-v;21561
copiar;01751182-v;spa-30-01747374-v;21559
coral;08205568-n;spa-30-08188638-n;2717
corazón;05396148-n;spa-30-05388805-n;2715
corazón;13888525-n;spa-30-13865904-n;4613
corbata;03821155-n;spa-30-03815615-n;2716
corchea;06884434-n;spa-30-06871384-n;9126
cordero;07682896-n;spa-30-07667151-n;28223
cordero;02415086-n;spa-30-02412440-n;2489
cordillera;09426609-n;spa-30-09403734-n;23975
cordón;04207680-n;spa-30-04200637-n;15363
cormorán;02056690-n;spa-30-02054036-n;9063
corneta;03115320-n;spa-30-03110669-n;5974
coro;08205568-n;spa-30-08188638-n;2717
coro;08204767-n;spa-30-08187837-n;2717
corona;04613372-n;spa-30-04606014-n;3085
corona;03143320-n;spa-30-03138669-n;2718
corral;03913346-n;spa-30-03907227-n;23979
corral;03328156-n;spa-30-03323211-n;23979
correa;04340267-n;spa-30-04333129-n;25996
correa;02830790-n;spa-30-02827606-n;2336
corrección;00259697-n;spa-30-00258854-n;19553
corredor;10562445-n;spa-30-10542888-n;8544
corregir;00200023-v;spa-30-00199659-v;6998
correo;06275051-n;spa-30-06264398-n;3086
correo;06289979-n;spa-30-06279326-n;5432
correo;08162561-n;spa-30-08145553-n;3086
correos;08162561-n;spa-30-08145553-n;6464
correr;01088514-v;spa-30-01086103-v;8544
correr;01930264-v;spa-30-01926311-v;2719
correr;01918940-v;spa-30-01914947-v;2719
cortacésped;03655235-n;spa-30-03649909-n;10280
cortar;01555301-v;spa-30-01552519-v;2720
cortar;00430013-v;spa-30-00429060-v;10151
cortar;01613738-v;spa-30-01610834-v;2720
cortar;01323084-v;spa-30-01320424-v;10151
corte;14310615-n;spa-30-14287113-n;5484
cortina;03155743-n;spa-30-03151077-n;8344
cortinas;03155743-n;spa-30-03151077-n;2357
corto;01438878-a;spa-30-01436003-a;4615
corto;02395180-a;spa-30-02386612-a;4615
corán;06473279-n;spa-30-06461609-n;23973
cosechadora;03502017-n;spa-30-03496892-n;3191
cosechar;01322669-v;spa-30-01320009-v;9043
coser;01331921-v;spa-30-01329239-v;7068
cosmonauta;09837427-n;spa-30-09818022-n;4569
cosquillas;00145265-n;spa-30-00144445-n;5480
costa;09451197-n;spa-30-09428293-n;8007
costa;09240137-n;spa-30-09217230-n;2826
costilla;07672350-n;spa-30-07656741-n;7000
costurero;04186773-n;spa-30-04179712-n;26004
coyote;02117507-n;spa-30-02114855-n;29768
crear;01624592-v;spa-30-01621555-v;11698
creatividad;05632483-n;spa-30-05624700-n;11690
crecer;00251067-v;spa-30-00250181-v;7002
crecer;01743695-v;spa-30-01739814-v;23991
crecer;00231983-v;spa-30-00231557-v;11683
crecer;00544490-v;spa-30-00543410-v;11683
crecimiento;13510240-n;spa-30-13489037-n;16627
crecimiento;13518338-n;spa-30-13497135-n;16631
crema;03851070-n;spa-30-03845550-n;3376
crema;03133170-n;spa-30-03128519-n;4873
cremallera;04245427-n;spa-30-04238321-n;2723
crematorio;03134717-n;spa-30-03130066-n;26008
crematorio;03134884-n;spa-30-03130233-n;26008
cresta;01794896-n;spa-30-01792255-n;7069
criado;10601606-n;spa-30-10582154-n;8162
criar;02545454-v;spa-30-02539788-v;25026
cristal;14905454-n;spa-30-14881303-n;9140
cristal;03147485-n;spa-30-03142834-n;9140
cristalería;03443988-n;spa-30-03439064-n;11224
cristalería;03444184-n;spa-30-03439260-n;29973
cristalino;05327912-n;spa-30-05320362-n;9101
cristiana;09697405-n;spa-30-09678009-n;25028
cristiano;09697405-n;spa-30-09678009-n;25033
crisálida;02315292-n;spa-30-02312640-n;26012
croar;01066423-v;spa-30-01064401-v;7003
croissant;07707395-n;spa-30-07691650-n;2358
crol;00571403-n;spa-30-00570366-n;25038
cronometrar;00491904-v;spa-30-00490968-v;28599
cronómetro;03030684-n;spa-30-03027001-n;26018
croqueta;07881991-n;spa-30-07866015-n;8307
cruasán;07707395-n;spa-30-07691650-n;2358
crucero;00313758-n;spa-30-00312932-n;21573
crucigrama;06798511-n;spa-30-06785654-n;5698
crudo;00622052-a;spa-30-00619433-a;15365
crustáceo;02716896-a;spa-30-02706160-a;8627
crustáceo;01977414-n;spa-30-01974773-n;8627
crustáceos;01977414-n;spa-30-01974773-n;8627
cruzar;01916152-v;spa-30-01912159-v;5976
cruzar;01918650-v;spa-30-01914657-v;31412
cráneo;05548146-n;spa-30-05540513-n;5697
cría;01324070-n;spa-30-01321579-n;34072
crótalos;04622201-n;spa-30-04614844-n;3266
cuaderno;06427062-n;spa-30-06415419-n;2359
cuaderno;03838213-n;spa-30-03832673-n;7004
cuadrado;13901273-n;spa-30-13878634-n;4616
cuadro;03882197-n;spa-30-03876519-n;2360
cuadrícula;05940298-n;spa-30-05931512-n;14546
cuarenta;13771667-n;spa-30-13749527-n;29320
cuarta;13869321-n;spa-30-13847124-n;15547
cuarto;04112987-n;spa-30-04105893-n;16153
cuarto;13759620-n;spa-30-13737480-n;5436
cuarto;13869321-n;spa-30-13847124-n;15549
cuatro;13766444-n;spa-30-13744304-n;2630
cuba;08768167-n;spa-30-08750334-n;17218
cubierta;03172332-n;spa-30-03167666-n;21577
cubilete;03195970-n;spa-30-03191286-n;9133
cubismo;08483186-n;spa-30-08466175-n;25413
cubito;03562321-n;spa-30-03557141-n;7128
cubo;02913195-n;spa-30-02909870-n;2725
cubo;02843139-n;spa-30-02839910-n;2724
cubo;13939754-n;spa-30-13916721-n;8308
cubo;13937623-n;spa-30-13914608-n;8308
cubrir;01339317-v;spa-30-01336635-v;26024
cucaracha;02235990-n;spa-30-02233338-n;4617
cucha;03615737-n;spa-30-03610524-n;26736
cuchara;04291140-n;spa-30-04284002-n;2362
cucharada;13792309-n;spa-30-13770169-n;8546
cucharón;03638382-n;spa-30-03633091-n;2320
cuchilla;04064159-n;spa-30-04057047-n;2726
cuchillo;03628765-n;spa-30-03623556-n;3237
cucurucho;07630339-n;spa-30-07614730-n;9049
cuello;05554173-n;spa-30-05546540-n;2727
cuenco;02884182-n;spa-30-02880940-n;24005
cuenco;02884435-n;spa-30-02881193-n;24005
cuenta;06528946-n;spa-30-06516955-n;5995
cuenta;02818206-n;spa-30-02815071-n;8334
cuentacuentos;10365535-n;spa-30-10345804-n;28241
cuentagotas;03251786-n;spa-30-03247083-n;8547
cuentakilómetros;03846663-n;spa-30-03841143-n;5977
cuerda;04115362-n;spa-30-04108268-n;4618
cuerno;14782206-n;spa-30-14758027-n;5978
cuerno;01328058-n;spa-30-01325417-n;5978
cuero;14783901-n;spa-30-14759722-n;5979
cuerpo;05223633-n;spa-30-05216365-n;2728
cuerpo;05224424-n;spa-30-05217168-n;17018
cuervo;01581901-n;spa-30-01579260-n;4619
cuestión;07208256-n;spa-30-07193596-n;7217
cuestión;07211342-n;spa-30-07196682-n;7217
cueva;09261832-n;spa-30-09238926-n;2729
cuidado;05623652-n;spa-30-05615869-n;25618
cuidar;00078513-v;spa-30-00078760-v;11691
culo;05566889-n;spa-30-05559256-n;28789
cultivador;03151512-n;spa-30-03146846-n;25265
cultura;05993821-n;spa-30-05984936-n;11693
cultura;05759791-n;spa-30-05751794-n;11693
cumbre;08635538-n;spa-30-08617963-n;20391
cumpleaños;15274989-n;spa-30-15250178-n;5997
cumpleaños;15277233-n;spa-30-15252422-n;3087
cumplir;01644397-v;spa-30-01640855-v;12315
cuna;03130380-n;spa-30-03125729-n;32011
cuna;03136225-n;spa-30-03131574-n;5980
cura;10490364-n;spa-30-10470779-n;30700
curar;00081478-v;spa-30-00081725-v;3302
curso;00886144-n;spa-30-00884466-n;23404
cuádriceps;05302318-n;spa-30-05294819-n;23997
cáliz;03006552-n;spa-30-03002948-n;23884
cámara;02946154-n;spa-30-02942699-n;2680
cámara;04412132-n;spa-30-04404997-n;3409
cápsula;02961022-n;spa-30-02957586-n;3006
cárcel;04012006-n;spa-30-04005630-n;4588
cárcel;03597432-n;spa-30-03592245-n;4588
cáscara;09455334-n;spa-30-09432430-n;6966
céntimo;13411799-n;spa-30-13390626-n;4775
césped;12122650-n;spa-30-12102133-n;11214
césped;08609148-n;spa-30-08591592-n;11214
círculo;13896141-n;spa-30-13873502-n;4603
cóctel;07927917-n;spa-30-07911677-n;23941
cómic;06608568-n;spa-30-06596364-n;3401
cómoda;03018908-n;spa-30-03015254-n;16281
cómodo;00478809-a;spa-30-00476819-a;11248
córnea;05324904-n;spa-30-05317354-n;9100
cúbito;05601231-n;spa-30-05593476-n;24001
dado;03195713-n;spa-30-03191029-n;2731
dados;03195713-n;spa-30-03191029-n;3089
damas;00503963-n;spa-30-00502952-n;3192
dar;02204104-v;spa-30-02199590-v;17038
dar;02235554-v;spa-30-02230772-v;17038
dar;02205200-v;spa-30-02200686-v;16025
dar;02267835-v;spa-30-02263027-v;24009
dar;02364552-v;spa-30-02359553-v;28833
dardo;03167484-n;spa-30-03162818-n;8309
dardos;00505220-n;spa-30-00504209-n;3090
daño;00403900-n;spa-30-00403092-n;20091
debajo;00488355-r;spa-30-00486157-r;5437
deberes;00730406-n;spa-30-00729108-n;11228
decidir;00699355-v;spa-30-00697589-v;11694
decir;01011267-v;spa-30-01009240-v;9692
decir;00980581-v;spa-30-00978549-v;9692
decisión;00163453-n;spa-30-00162632-n;14670
decoración;00263092-n;spa-30-00262249-n;7008
decorar;01679858-v;spa-30-01675963-v;7008
decorar;01469172-v;spa-30-01466543-v;32622
dedal;04430980-n;spa-30-04423845-n;3303
dedo;05574137-n;spa-30-05566504-n;3298
defender;01130619-v;spa-30-01128193-v;6192
defender;01132302-v;spa-30-01129876-v;6192
deglutir;01204494-v;spa-30-01201856-v;27099
dejar;01496967-v;spa-30-01494310-v;11748
delantal;02733935-n;spa-30-02730930-n;2366
delante;00067181-r;spa-30-00066781-r;5438
delfín;02071627-n;spa-30-02068974-n;2732
delgado;00991420-a;spa-30-00988232-a;4623
delincuente;09997190-n;spa-30-09977660-n;4674
demoler;01660001-v;spa-30-01656458-v;11230
denegar;02242120-v;spa-30-02237338-v;21587
dentadura;05289932-n;spa-30-05282433-n;2737
dentista;10023944-n;spa-30-10004282-n;2733
dentro;00111276-r;spa-30-00110533-r;5439
dentro;00111558-r;spa-30-00110815-r;5439
dentífrico;04460569-n;spa-30-04453298-n;2858
denunciar;00843259-v;spa-30-00841580-v;14006
denunciar;00967422-v;spa-30-00965390-v;14006
denunciar;00967574-v;spa-30-00965542-v;14006
dependencia;14024833-n;spa-30-14001348-n;11480
dependiente;10568238-n;spa-30-10548681-n;20123
dependiente;10024466-n;spa-30-10004804-n;11466
depilar;00037507-v;spa-30-00037514-v;7009
deporte;00524569-n;spa-30-00523513-n;7010
deporte;00434156-n;spa-30-00433216-n;7010
deportes;00524569-n;spa-30-00523513-n;29873
deportivo;04292146-n;spa-30-04285008-n;3081
depositar;01496967-v;spa-30-01494310-v;27717
depositar;01578506-v;spa-30-01575675-v;27717
depósito;04395830-n;spa-30-04388743-n;16285
derecha;05572970-n;spa-30-05565337-n;4624
derecha;08642648-n;spa-30-08625073-n;9202
derramar;02073479-v;spa-30-02069551-v;5982
derretir;00376777-v;spa-30-00376106-v;7011
derribar;01415000-v;spa-30-01412346-v;11230
derribar;01660001-v;spa-30-01656458-v;11230
derrumbar;01660001-v;spa-30-01656458-v;26561
desabotonar;01370704-v;spa-30-01368001-v;5440
desabrochar;01370704-v;spa-30-01368001-v;5440
desagradable;09654651-n;spa-30-09631463-n;6902
desagradable;01806732-a;spa-30-01801600-a;6155
desagradar;01780648-v;spa-30-01776727-v;6155
desagradar;01821097-v;spa-30-01817130-v;6155
desaparecer;00427911-v;spa-30-00426958-v;4642
desarrollo;13510240-n;spa-30-13489037-n;16629
desarrollo;13486023-n;spa-30-13464820-n;33034
desarrollo;00251126-n;spa-30-00250259-n;33048
desastre;07329438-n;spa-30-07314838-n;25052
desatascar;01481768-v;spa-30-01479138-v;28607
desatornillar;01355231-v;spa-30-01352528-v;6635
desayunar;01188273-v;spa-30-01185740-v;4625
desayuno;07590167-n;spa-30-07574602-n;4626
descafeinado;07936027-n;spa-30-07919787-n;24487
descalzo;00279508-r;spa-30-00278078-r;7014
descansar;00014398-v;spa-30-00014405-v;3299
descanso;15299060-n;spa-30-15274074-n;3299
descargar;02238486-v;spa-30-02233704-v;27397
descender;01974840-v;spa-30-01970826-v;8035
desconectar;01513208-v;spa-30-01510576-v;27518
desconectar;01358741-v;spa-30-01356038-v;27402
desconocido;01379820-a;spa-30-01376894-a;9853
descorchar;01426447-v;spa-30-01423793-v;26797
descripción;07216025-n;spa-30-07201365-n;11713
descripción;06737512-n;spa-30-06724763-n;11713
